value,label
a,0
a,1
partir,1
aberto,1
able,0
about,0
above,0
acabamento,1
acampamento,1
acertar,1
acho,1
acima,1
aço,1
acontecer,1
acorde,1
acreditar,1
act,0
açúcar,1
add,0
adequada,1
adicionar,1
afraid,0
after,0
again,0
against,0
age,0
ago,0
agora,1
agree,0
água,1
ainda,1
ainda,1
air,0
ajudar,1
alcançar,1
aldeia,1
alegria,1
algodão,1
alguns,1
alimentação,1
alimentos,1
all,0
allow,0
also,0
alto,1
alto,1
alto,1
always,0
am,0
am,1
amarelo,1
amarrar,1
amigo,1
amo,1
among,0
ampla,1
amplo,1
an,0
and,0
andar,1
anel,1
anger,0
animais,1
animal,0
ano,1
answer,0
antes,1
any,0
aparecer,1
apenas,1
apoio,1
appear,0
apple,0
aprender,1
apressar,1
aqueles,1
aqui,1
ar,1
are,0
area,0
área,1
areia,1
arm,0
arrange,0
arrive,0
art,0
arte,1
árvore,1
as,0
asa,1
ask,0
assento,1
assim,1
assim,1
assista,1
assunto,1
assunto,1
at,0
até,1
ato,1
atom,0
átomo,1
atrás,1
atrás,1
através,1
atravessar,1
atual,1
aumentou,1
auto,1
avião,1
aviso,1
azul,1
baby,0
back,0
bad,0
baixo,1
ball,0
banco,1
band,0
banda,1
bank,0
bar,0
bar,1
barco,1
base,0
base,1
basic,0
básico,1
bastante,1
bastante,1
bat,0
bat,1
bater,1
be,0
bear,0
beat,0
beauty,0
bebê,1
bebida,1
bed,0
been,0
before,0
began,0
begin,0
behind,0
beleza,1
believe,0
bell,0
bem,1
best,0
better,0
between,0
big,0
bird,0
bit,0
bit,1
black,0
block,0
bloco,1
blood,0
blow,0
blue,0
board,0
boat,0
boca,1
body,0
bola,1
bom,1
bone,0
book,0
borda,1
born,0
both,0
bottom,0
bought,0
box,0
boy,0
braço,1
branch,0
branco,1
bread,0
break,0
bright,0
brilhante,1
brilho,1
bring,0
broad,0
broke,0
brother,0
brought,0
brown,0
build,0
buraco,1
burn,0
busy,0
but,0
buy,0
by,0
cabeça,1
cabelo,1
caber,1
caça,1
cada,1
cada,1
cadeira,1
cair,1
cair,1
caiu,1
caixa,1
call,0
calma,1
calor,1
cama,1
came,0
caminhão,1
caminho,1
camp,0
campo,1
campo,1
can,0
canção,1
cantar,1
canto,1
cão,1
capaz,1
capital,0
capital,1
capitão,1
captain,0
captura,1
capturados,1
car,0
caráter,1
card,0
care,0
carne,1
caro,1
carregam,1
carro,1
carry,0
carta,1
cartão,1
casa,1
casa,1
casaco,1
casca,1
case,0
caso,1
cat,0
cat,1
catch,0
cauda,1
caught,0
causa,1
cause,0
cavalo,1
cedo,1
cell,0
celular,1
cem,1
cent,0
center,0
cento,1
centro,1
century,0
certain,0
certo,1
certo,1
céu,1
chair,0
chamada,1
chance,0
change,0
chapéu,1
character,0
charge,0
chart,0
chave,1
check,0
chefe,1
chegar,1
cheiro,1
chick,0
chief,0
child,0
children,0
choose,0
chord,0
chuva,1
cidade,1
cidade,1
ciência,1
cinco,1
cinza,1
circle,0
círculo,1
city,0
claim,0
claro,1
class,0
classe,1
clean,0
clear,0
climb,0
clock,0
close,0
clothe,0
cloud,0
coast,0
coat,0
cobertura,1
cobrar,1
coisa,1
cold,0
colheita,1
collect,0
colocar,1
colônia,1
colony,0
color,0
column,0
coluna,1
com,1
come,0
começo,1
começou,1
comer,1
comércio,1
common,0
como,1
como,1
como,1
companhia,1
company,0
comparar,1
compare,0
complete,0
completo,1
completo,1
comprar,1
comprimento,1
comprou,1
comum,1
concordar,1
condição,1
condition,0
conduzir,1
conduziu,1
conectar,1
conjunto,1
connect,0
conselho,1
consider,0
considerar,1
consoante,1
consonant,0
construir,1
contagem,1
contain,0
contar,1
contêm,1
continent,0
continente,1
