value, label
être,2
avoir,2
je,2
de,2
ne,2
pas,2
le,2
la,2
tu,2
vous,2
il,2
et,2
à,2
un,2
l',2
qui,2
aller,2
les,2
en,2
ça,2
faire,2
tout,2
on,2
que,2
ce,2
une,2
mes,2
d',2
pour,2
se,2
des,2
dire,2
pouvoir,2
vouloir,2
mais,2
me,2
nous,2
dans,2
elle,2
savoir,2
du,2
où,2
y,2
t',2
bien,2
voir,2
plus,2
non,2
te,2
mon,2
regarder,2
encore,2
appeler,2
est-ce que,2
peu,2
homme,2
partir,2
ma,2
toujours,2
jour,2
femme,2
temps,2
maintenant,2
notre,2
vie,2
deux,2
mettre,2
rester,2
sans,2
seul,2
arrêter,2
vraiment,2
connaître,2
quelque,2
sûr,2
tuer,2
mourir,2
demander,2
juste,2
peut-être,2
dieu,2
fois,2
oh,2
père,2
comprendre,2
sortir,2
personne,2
an,2
trop,2
chez,2
fille,2
aux,2
monde,2
ami,2
vrai,2
après,2
mal,2
besoin,2
accord,2
ses,2
avant,2
before,2
monsieur,2
enfant,2
grand,2
entendre,2
voilà,2
chercher,2
heure,2
mieux,2
tes,2
aider,2
mère,2
déjà,2
beau,2
essayer,2
quel,2
vos,2
depuis,2
quelqu'un,2
beaucoup,2
revenir,2
donc,2
plaire,2
maison,2
gens,2
nuit,2
ah,2
soir,2
nom,2
bonjour,2
jouer,2
leur,2
finir,2
peur,2
mort,2
parce que,2
perdre,2
maman,2
sentir,2
ouais,2
rentrer,2
nos,2
premier,2
problème,2
argent,2
quelle,2
vivre,2
rendre,2
dernier,2
tenir,2
